"TITRE";"ID";"CODE";"NOM_SOURCE";"AUTEUR";"CRITIQUE";"NOTE"
"17 FILLES";"1";"20251287";"Le Nouvel Observateur";"Fabrice Pliskin";"Les deux soeurs cinéastes se gardent d'accabler leurs personnages. Une réussite.";"5"
"17 FILLES";"2";"20250361";"Le Parisien";"Pierre Vavasseur";"""17 Filles"" est un récit filmé à hauteur d'adolescence dans lequel il puise toute sa vérité sans cesser de paraître une oeuvre de fiction. Les actrices sont remarquables, véritablement concernées par cette fièvre maternelle.";"5"
"17 FILLES";"3";"20250207";"L'Express";"Christophe Carrière";"Voir le site lexpress.fr";"4"
"17 FILLES";"4";"20250285";"Libération";"Philippe Azoury";"Collectif. ""17 Filles"", premier film des soeurs Coulin, scrute l'adolescence sous un angle naturaliste.";"4"
"17 FILLES";"5";"20250257";"Metro";"Mehdi Omaïs";"Passées par le docu, les deux cinéastes évitent le piège de la leçon de morale.";"3"
"17 FILLES";"6";"20250281";"La Croix";"La rédaction";"""17 filles"" filme au plus près, mais sans esprit critique, l'univers, les rêves, l'insouciance de Camille et de ses amies, et leur regard sévère sur des adultes désemparés.";"2"
"17 FILLES";"7";"20250334";"Le Monde";"Thomas Sotinel";"Les actrices, toutes remarquables, communiquent l'émerveillement et les angoisses (qui parfois confinent à la terreur) du passage d'un âge à l'autre.";"4"
"17 FILLES";"8";"20273716";"Positif";"Vincent Thabourey";"Beau portrait de demoiselles du XXIème siècle que celui formé par ces ""17 Filles"" (...).";"4"
"17 FILLES";"9";"20245519";"Première";"Christophe Narbonne";"S'il fallait rapprocher ""17 Filles"" d'un autre film, ce serait de ""Virgin Suicides"". Même langueur pop, même image délicatement granuleuse, même genre de casting féminin hétérogène (...).";"4"
"17 FILLES";"10";"20248754";"Le Journal du Dimanche";"Jean-Pierre Lacomme";"[Une] chronique attachante à l'ombre de ces jeunes filles en fleur.";"3"
"17 FILLES";"11";"20250229";"Les Inrockuptibles";"Jean-Marc Lalanne";"Ce que veulent faire les filles avant tout, c'est quelque chose ensemble. Delphine et Muriel Coulin, deux soeurs issues du documentaire, elles, ont fait un film. Leur premier bébé. Une vraie réussite. On leur en souhaite beaucoup d'autres.";"5"
"17 FILLES";"12";"20239802";"Cahiers du Cinéma";"Nicolas Azalbert";"Les soeurs Coulin ont bien su voir toutes les potentialités que recèle un corps de fille mère élevé à la puissance 17. (...) Et le film, au-delà des dix-sept grossesses forcément métaphoriques, de prescrire cette belle ordonnance : l'avenir doit puiser dans le passé pour féconder le présent.";"4"
"17 FILLES";"13";"20250413";"Le Point";"François-Guillaume Lorrain";"Voir le site lepoint.fr";"4"
